generation,pi
320,5.57424e-06
321,5.60257e-06
322,5.62589e-06
323,5.66899e-06
324,5.68305e-06
325,5.69961e-06
326,5.68519e-06
327,5.70641e-06
328,5.69096e-06
329,5.71692e-06
330,5.7235e-06
331,5.75638e-06
332,5.74063e-06
333,5.72308e-06
334,5.65419e-06
335,5.65091e-06
336,5.68073e-06
337,5.70658e-06
338,5.7243e-06
339,5.73807e-06
340,5.74812e-06
341,5.70388e-06
342,5.69693e-06
343,5.7504e-06
344,5.79054e-06
345,5.82855e-06
346,5.85079e-06
347,5.82003e-06
348,5.82202e-06
349,5.83887e-06
350,5.87246e-06
351,5.84892e-06
352,5.84065e-06
353,5.87256e-06
354,5.91381e-06
355,5.98931e-06
356,6.03236e-06
357,6.06916e-06
358,6.09367e-06
359,6.04782e-06
360,6.0321e-06
361,6.08658e-06
362,6.07787e-06
363,6.09131e-06
364,6.12721e-06
365,6.18487e-06
366,6.18352e-06
367,6.17802e-06
368,6.22099e-06
369,6.22817e-06
370,6.25949e-06
371,6.23723e-06
372,6.2218e-06
373,6.2696e-06
374,6.26477e-06
375,6.24409e-06
376,6.28816e-06
377,6.28715e-06
378,6.33364e-06
379,6.35686e-06
380,6.36069e-06
381,6.33415e-06
382,6.34671e-06
383,6.41664e-06
384,6.47059e-06
385,6.45847e-06
386,6.44374e-06
387,6.45908e-06
388,6.47357e-06
389,6.40166e-06
390,6.43608e-06
391,6.44443e-06
392,6.42515e-06
393,6.48594e-06
394,6.48012e-06
395,6.45189e-06
396,6.43793e-06
397,6.43553e-06
398,6.42653e-06
399,6.42217e-06
400,6.4033e-06
401,6.4093e-06
402,6.39208e-06
403,6.38374e-06
404,6.42408e-06
405,6.4493e-06
406,6.50953e-06
407,6.54412e-06
408,6.57453e-06
409,6.56731e-06
410,6.5984e-06
411,6.59041e-06
412,6.54715e-06
413,6.54427e-06
414,6.61744e-06
415,6.64076e-06
416,6.56378e-06
417,6.55229e-06
418,6.56702e-06
419,6.57256e-06
420,6.5943e-06
421,6.62874e-06
422,6.68819e-06
423,6.67742e-06
424,6.67191e-06
425,6.68304e-06
426,6.77287e-06
427,6.81238e-06
428,6.74207e-06
429,6.79296e-06
430,6.83904e-06
431,6.7888e-06
432,6.81468e-06
433,6.74658e-06
434,6.74013e-06
435,6.72668e-06
436,6.7472e-06
437,6.74252e-06
438,6.69441e-06
439,6.6955e-06
440,6.71491e-06
441,6.71413e-06
442,6.678e-06
443,6.68834e-06
444,6.71041e-06
445,6.70247e-06
446,6.74847e-06
447,6.72761e-06
448,6.72758e-06
449,6.75309e-06
450,6.78435e-06
451,6.83362e-06
452,6.81641e-06
453,6.91302e-06
454,6.92101e-06
455,6.9709e-06
456,6.99812e-06
457,7.07008e-06
458,7.12921e-06
459,7.18882e-06
460,7.21336e-06
461,7.1885e-06
462,7.1997e-06
463,7.26572e-06
464,7.2587e-06
465,7.30314e-06
466,7.31734e-06
467,7.30925e-06
468,7.35563e-06
469,7.37374e-06
470,7.33506e-06
471,7.35014e-06
472,7.35884e-06
473,7.3781e-06
474,7.39075e-06
475,7.38858e-06
476,7.44188e-06
477,7.46507e-06
478,7.47999e-06
479,7.53011e-06
480,7.60941e-06
481,7.63501e-06
482,7.65104e-06
483,7.6402e-06
484,7.67845e-06
485,7.70952e-06
486,7.69979e-06
487,7.68875e-06
488,7.7497e-06
489,7.80067e-06
490,7.77772e-06
491,7.791e-06
492,7.71296e-06
493,7.77341e-06
494,7.81256e-06
495,7.839e-06
496,7.80687e-06
497,7.78444e-06
498,7.83932e-06
499,7.79242e-06
500,7.7485e-06
501,7.76057e-06
502,7.81566e-06
503,7.80304e-06
504,7.84286e-06
505,7.8343e-06
506,7.86137e-06
507,7.8271e-06
508,7.87904e-06
509,7.92509e-06
510,7.93439e-06
511,7.95334e-06
512,7.94648e-06
513,7.96066e-06
514,8.01135e-06
515,8.08273e-06
516,8.1236e-06
517,8.17524e-06
518,8.21018e-06
519,8.3214e-06
520,8.32995e-06
521,8.35184e-06
522,8.28824e-06
523,8.33472e-06
524,8.36458e-06
525,8.34767e-06
526,8.32073e-06
527,8.33227e-06
528,8.29543e-06
529,8.28403e-06
530,8.28737e-06
531,8.33509e-06
532,8.34729e-06
533,8.29883e-06
534,8.35844e-06
535,8.36256e-06
536,8.32818e-06
537,8.32887e-06
538,8.27462e-06
539,8.27918e-06
540,8.28253e-06
541,8.30877e-06
542,8.34829e-06
543,8.35897e-06
544,8.27765e-06
545,8.26129e-06
546,8.2057e-06
547,8.23672e-06
548,8.30614e-06
549,8.32761e-06
550,8.33855e-06
551,8.37114e-06
552,8.3652e-06
553,8.32292e-06
554,8.34834e-06
555,8.39914e-06
556,8.38958e-06
557,8.42952e-06
558,8.43419e-06
559,8.43482e-06
560,8.45623e-06
561,8.53541e-06
562,8.56199e-06
563,8.55326e-06
564,8.56701e-06
565,8.58276e-06
566,8.59736e-06
567,8.62109e-06
568,8.64384e-06
569,8.6721e-06
570,8.71134e-06
571,8.72092e-06
572,8.72075e-06
573,8.7853e-06
574,8.75464e-06
575,8.76063e-06
576,8.72266e-06
577,8.70593e-06
578,8.71587e-06
579,8.73724e-06
580,8.79057e-06
581,8.86272e-06
582,8.79397e-06
583,8.75895e-06
584,8.80492e-06
585,8.81205e-06
586,8.77882e-06
587,8.78834e-06
588,8.77276e-06
589,8.75755e-06
590,8.68489e-06
591,8.67155e-06
592,8.70069e-06
593,8.69125e-06
594,8.68795e-06
595,8.67162e-06
596,8.64279e-06
597,8.67142e-06
598,8.63609e-06
599,8.68816e-06
600,8.72353e-06
601,8.75929e-06
602,8.80059e-06
603,8.83157e-06
604,8.85946e-06
605,8.84719e-06
606,8.84833e-06
607,8.84099e-06
608,8.85716e-06
609,8.91537e-06
610,8.95488e-06
611,8.94228e-06
612,8.96304e-06
613,8.98354e-06
614,9.03774e-06
615,8.99738e-06
616,9.05562e-06
617,9.15244e-06
618,9.14404e-06
619,9.14793e-06
620,9.12969e-06
621,9.16699e-06
622,9.22365e-06
623,9.26322e-06
624,9.26865e-06
625,9.30552e-06
626,9.32951e-06
627,9.37281e-06
628,9.46223e-06
629,9.49563e-06
630,9.4939e-06
631,9.49353e-06
632,9.54644e-06
633,9.5551e-06
634,9.50149e-06
635,9.42767e-06
636,9.49048e-06
637,9.51162e-06
638,9.53893e-06
639,9.57301e-06
640,9.54962e-06
641,9.56325e-06
642,9.57393e-06
643,9.56712e-06
644,9.66767e-06
645,9.63803e-06
646,9.693e-06
647,9.6991e-06
648,9.65213e-06
649,9.66821e-06
650,9.67164e-06
651,9.63419e-06
652,9.62473e-06
653,9.63544e-06
654,9.67702e-06
655,9.72318e-06
656,9.75596e-06
657,9.8071e-06
658,9.79171e-06
659,9.82252e-06
660,9.84824e-06
661,9.92653e-06
662,9.89812e-06
663,9.94371e-06
664,9.93389e-06
665,9.95516e-06
666,9.99027e-06
667,1.00559e-05
668,9.99951e-06
669,9.96923e-06
670,9.99089e-06
671,1.00159e-05
672,1.00048e-05
673,1.00172e-05
674,1.00134e-05
675,1.00147e-05
676,1.00604e-05
677,1.00995e-05
678,1.00911e-05
679,1.00513e-05
680,1.00035e-05
681,9.97225e-06
682,9.93637e-06
683,9.98142e-06
684,1.00048e-05
685,1.00901e-05
686,1.00884e-05
687,1.00953e-05
688,1.01149e-05
689,1.01611e-05
690,1.01461e-05
691,1.01324e-05
692,1.01345e-05
693,1.01919e-05
694,1.01437e-05
695,1.02058e-05
696,1.0283e-05
697,1.03087e-05
698,1.02819e-05
699,1.03186e-05
700,1.03926e-05
701,1.04203e-05
702,1.04299e-05
703,1.04375e-05
704,1.05083e-05
705,1.05068e-05
706,1.05477e-05
707,1.05875e-05
708,1.06017e-05
709,1.06468e-05
710,1.06693e-05
711,1.06274e-05
712,1.06508e-05
713,1.06164e-05
714,1.06143e-05
715,1.06267e-05
716,1.05889e-05
717,1.05831e-05
718,1.05701e-05
719,1.05653e-05
720,1.05337e-05
721,1.0549e-05
722,1.05202e-05
723,1.05601e-05
724,1.04879e-05
725,1.05249e-05
726,1.05161e-05
727,1.04736e-05
728,1.04249e-05
729,1.0438e-05
730,1.04206e-05
731,1.04596e-05
732,1.04678e-05
733,1.04847e-05
734,1.05053e-05
735,1.04765e-05
736,1.05452e-05
737,1.05667e-05
738,1.06408e-05
739,1.06882e-05
740,1.06055e-05
741,1.06331e-05
742,1.06676e-05
743,1.07246e-05
744,1.06752e-05
745,1.06409e-05
746,1.06335e-05
747,1.06152e-05
748,1.06268e-05
749,1.06137e-05
750,1.06676e-05
751,1.07345e-05
752,1.07947e-05
753,1.08064e-05
754,1.07875e-05
755,1.08664e-05
756,1.08772e-05
757,1.09296e-05
758,1.09418e-05
759,1.0962e-05
760,1.1005e-05
761,1.09974e-05
762,1.10067e-05
763,1.09531e-05
764,1.10024e-05
765,1.10385e-05
766,1.10695e-05
767,1.10708e-05
768,1.11281e-05
769,1.11184e-05
770,1.1128e-05
771,1.11458e-05
772,1.11846e-05
773,1.12061e-05
774,1.12456e-05
775,1.13505e-05
776,1.13351e-05
777,1.12733e-05
778,1.13199e-05
779,1.12659e-05
780,1.12412e-05
781,1.11979e-05
782,1.12237e-05
783,1.11563e-05
784,1.11563e-05
785,1.12078e-05
786,1.12009e-05
787,1.1202e-05
788,1.11402e-05
789,1.11839e-05
790,1.11548e-05
791,1.11577e-05
792,1.11801e-05
793,1.12696e-05
794,1.12372e-05
795,1.12863e-05
796,1.12858e-05
797,1.13056e-05
798,1.13078e-05
799,1.13361e-05
800,1.12973e-05
801,1.12952e-05
802,1.13244e-05
803,1.13602e-05
804,1.13693e-05
805,1.14533e-05
806,1.14648e-05
807,1.14916e-05
808,1.14783e-05
809,1.14802e-05
810,1.14477e-05
811,1.14386e-05
812,1.14664e-05
813,1.15293e-05
814,1.15072e-05
815,1.15692e-05
816,1.15368e-05
817,1.16168e-05
818,1.16262e-05
819,1.16296e-05
820,1.16196e-05
821,1.1649e-05
822,1.16625e-05
823,1.16954e-05
824,1.16977e-05
825,1.17046e-05
826,1.17408e-05
827,1.1771e-05
828,1.18118e-05
829,1.18668e-05
830,1.18852e-05
831,1.18688e-05
832,1.18389e-05
833,1.1868e-05
834,1.18696e-05
835,1.18508e-05
836,1.18486e-05
837,1.18908e-05
838,1.19257e-05
839,1.19764e-05
840,1.20055e-05
841,1.19661e-05
842,1.1981e-05
843,1.19792e-05
844,1.20343e-05
845,1.20337e-05
846,1.20843e-05
847,1.21239e-05
848,1.21135e-05
849,1.21024e-05
850,1.21887e-05
851,1.21844e-05
852,1.21884e-05
853,1.21996e-05
854,1.22422e-05
855,1.22367e-05
856,1.22118e-05
857,1.21947e-05
858,1.22253e-05
859,1.21946e-05
860,1.2138e-05
861,1.21618e-05
862,1.21442e-05
863,1.20887e-05
864,1.20974e-05
865,1.2181e-05
866,1.21938e-05
867,1.21351e-05
868,1.22242e-05
869,1.22466e-05
870,1.23116e-05
871,1.23031e-05
872,1.22752e-05
873,1.22938e-05
874,1.23229e-05
875,1.23742e-05
876,1.22894e-05
877,1.23484e-05
878,1.23423e-05
879,1.23285e-05
880,1.23659e-05
881,1.24112e-05
882,1.24147e-05
883,1.24494e-05
884,1.24596e-05
885,1.24778e-05
886,1.24468e-05
887,1.2404e-05
888,1.23993e-05
889,1.24133e-05
890,1.23671e-05
891,1.23765e-05
892,1.23768e-05
893,1.24215e-05
894,1.24416e-05
895,1.25402e-05
896,1.24835e-05
897,1.25384e-05
898,1.25105e-05
899,1.2528e-05
900,1.26155e-05
901,1.26742e-05
902,1.27203e-05
903,1.26755e-05
904,1.26062e-05
905,1.26782e-05
906,1.26826e-05
907,1.27139e-05
908,1.27511e-05
909,1.27455e-05
910,1.27255e-05
911,1.26734e-05
912,1.26625e-05
913,1.26851e-05
914,1.2691e-05
915,1.27274e-05
916,1.27495e-05
917,1.2767e-05
918,1.27745e-05
919,1.27731e-05
920,1.27296e-05
921,1.27379e-05
922,1.27485e-05
923,1.27604e-05
924,1.28407e-05
925,1.28466e-05
926,1.28802e-05
927,1.28997e-05
928,1.28681e-05
929,1.2885e-05
930,1.28994e-05
931,1.28899e-05
932,1.2946e-05
933,1.30077e-05
934,1.30524e-05
935,1.30617e-05
936,1.30008e-05
937,1.30366e-05
938,1.29728e-05
939,1.30088e-05
940,1.30588e-05
941,1.30243e-05
942,1.30019e-05
943,1.30019e-05
944,1.29649e-05
945,1.29671e-05
946,1.30096e-05
947,1.30596e-05
948,1.30359e-05
949,1.29466e-05
950,1.28634e-05
951,1.29588e-05
952,1.30437e-05
953,1.31025e-05
954,1.30325e-05
955,1.30208e-05
956,1.3045e-05
957,1.31111e-05
958,1.31136e-05
959,1.30643e-05
960,1.31111e-05
961,1.3156e-05
962,1.31719e-05
963,1.32368e-05
964,1.3299e-05
965,1.32447e-05
966,1.32544e-05
967,1.32132e-05
968,1.3223e-05
969,1.31338e-05
970,1.32382e-05
971,1.33045e-05
972,1.33694e-05
973,1.34092e-05
974,1.33508e-05
975,1.33231e-05
976,1.3288e-05
977,1.33028e-05
978,1.32427e-05
979,1.3222e-05
980,1.33141e-05
981,1.33431e-05
982,1.34016e-05
983,1.34038e-05
984,1.33453e-05
985,1.33565e-05
986,1.33582e-05
987,1.33678e-05
988,1.339e-05
989,1.33939e-05
990,1.33789e-05
991,1.33768e-05
992,1.33881e-05
993,1.34433e-05
994,1.34275e-05
995,1.35061e-05
996,1.34537e-05
997,1.34826e-05
998,1.34103e-05
999,1.34061e-05
1000,1.34932e-05
1001,1.34071e-05
1002,1.33616e-05
1003,1.34064e-05
1004,1.34359e-05
1005,1.33612e-05
1006,1.32469e-05
1007,1.32177e-05
1008,1.32438e-05
1009,1.32463e-05
1010,1.31819e-05
1011,1.32362e-05
1012,1.31809e-05
1013,1.31915e-05
1014,1.31861e-05
1015,1.32041e-05
1016,1.31708e-05
1017,1.31474e-05
1018,1.31412e-05
1019,1.31816e-05
1020,1.31334e-05
1021,1.30581e-05
1022,1.29792e-05
1023,1.30813e-05
1024,1.3069e-05
1025,1.31738e-05
1026,1.31716e-05
1027,1.31442e-05
1028,1.32222e-05
1029,1.32206e-05
1030,1.33054e-05
1031,1.33027e-05
1032,1.32714e-05
1033,1.32551e-05
1034,1.33062e-05
1035,1.33542e-05
1036,1.33079e-05
1037,1.32991e-05
1038,1.33218e-05
1039,1.33516e-05
1040,1.3432e-05
1041,1.35571e-05
1042,1.3567e-05
1043,1.35786e-05
1044,1.35689e-05
1045,1.3588e-05
1046,1.36993e-05
1047,1.36605e-05
1048,1.36834e-05
1049,1.361e-05
1050,1.35369e-05
1051,1.35511e-05
1052,1.3475e-05
1053,1.34712e-05
1054,1.33798e-05
1055,1.34474e-05
1056,1.34487e-05
1057,1.34255e-05
1058,1.3405e-05
1059,1.33878e-05
1060,1.33623e-05
1061,1.33187e-05
1062,1.32574e-05
1063,1.32576e-05
1064,1.33293e-05
1065,1.33525e-05
1066,1.34227e-05
1067,1.34619e-05
1068,1.34741e-05
1069,1.34914e-05
1070,1.34556e-05
1071,1.34707e-05
1072,1.35272e-05
1073,1.34922e-05
1074,1.35634e-05
1075,1.34466e-05
1076,1.33727e-05
1077,1.3435e-05
1078,1.33656e-05
1079,1.33678e-05
1080,1.34298e-05
1081,1.34383e-05
1082,1.32786e-05
1083,1.3238e-05
1084,1.31645e-05
1085,1.30784e-05
1086,1.30799e-05
1087,1.31663e-05
1088,1.32297e-05
1089,1.32411e-05
1090,1.33504e-05
1091,1.33604e-05
1092,1.33206e-05
1093,1.33939e-05
1094,1.33842e-05
1095,1.3434e-05
1096,1.35231e-05
1097,1.35948e-05
1098,1.36663e-05
1099,1.37371e-05
1100,1.36842e-05
1101,1.37483e-05
1102,1.37297e-05
1103,1.36258e-05
1104,1.36051e-05
1105,1.36557e-05
1106,1.36343e-05
1107,1.37362e-05
1108,1.37636e-05
1109,1.37442e-05
1110,1.37737e-05
1111,1.37272e-05
1112,1.37437e-05
1113,1.37313e-05
1114,1.37166e-05
1115,1.37762e-05
1116,1.36864e-05
1117,1.36459e-05
1118,1.35589e-05
1119,1.35919e-05
1120,1.36419e-05
1121,1.36464e-05
1122,1.37322e-05
1123,1.37723e-05
1124,1.36697e-05
1125,1.37998e-05
1126,1.38252e-05
1127,1.37083e-05
1128,1.37304e-05
1129,1.37751e-05
1130,1.37428e-05
1131,1.36917e-05
1132,1.36111e-05
1133,1.3527e-05
1134,1.35017e-05
1135,1.34105e-05
1136,1.3492e-05
